datapoint,Year,Zipcode,Total Population,White Population,Black Population,Employed Count,Unemployed Count,Poverty Count,Poverty Count - White,Poverty Count - Black,Median Income,Median Rent,Median Home Value,County,Adjusted Median Income,Adjusted Median Rent,Adjusted Median Home Value,% Black Population,% White Population,% Unemployed,% Black Poverty,% White Poverty
754,2014,48604,13108,11045,1372,6108.0,872.0,2227.0,1428.0,593.0,45718.0,618.0,78900.0,Saginaw,56516.96949344418,763.9767082319545,97536.83216747768,10.466890448581019,84.26151968263656,6.652425999389686,26.62775033677593,64.12213740458014
755,2019,48604,12307,10326,1435,5626.0,464.0,2524.0,1593.0,799.0,46324.0,671.0,81200.0,Saginaw,53027.885878344816,768.1053325353889,92951.04769280713,11.660030876736817,83.90346957016332,3.770212074429187,31.656101426307448,63.11410459587956
756,2011,48604,13095,11369,983,5735.0,781.0,2179.0,1764.0,380.0,45610.0,560.0,90900.0,Saginaw,59340.508093305296,728.583304807081,118264.68286957795,7.506681939671631,86.81939671630393,5.964108438335242,17.4391922900413,80.95456631482332
757,2020,48604,11905,10181,1097,5523.0,538.0,2576.0,1980.0,427.0,45488.0,683.0,81200.0,Saginaw,51436.340186468115,772.3140245198233,91818.29984042411,9.214615707685846,85.51868962620748,4.5191096178076435,16.57608695652174,76.86335403726709
758,2016,48604,13348,10982,1613,6391.0,699.0,2969.0,1718.0,1012.0,39940.0,654.0,75600.0,Saginaw,48701.2491302337,797.4616157028752,92183.6363106076,12.08420737189092,82.27449805214265,5.2367395864549,34.08555069046817,57.86460087571573
759,2018,48604,12435,10252,1464,5988.0,588.0,2332.0,1399.0,697.0,45909.0,673.0,81300.0,Saginaw,53505.07311624129,784.3541398686615,94751.84483108793,11.773220747889022,82.44471250502615,4.728588661037395,29.8885077186964,59.99142367066895
760,2020,48607,1772,580,902,591.0,84.0,388.0,107.0,220.0,34650.0,800.0,68900.0,Saginaw,39181.084845698206,904.6137915312718,77909.86279563078,50.90293453724605,32.731376975169304,4.740406320541761,56.70103092783505,27.577319587628867
761,2016,48607,1236,245,815,357.0,49.0,540.0,105.0,378.0,20710.0,378.0,40700.0,Saginaw,25252.951163924386,460.91818155303804,49627.962934414405,65.93851132686083,19.82200647249191,3.9644012944983817,70.0,19.444444444444446
762,2019,48607,1556,550,841,482.0,32.0,505.0,139.0,306.0,28571.0,750.0,59200.0,Saginaw,32705.719010236367,858.5380020887358,67767.26629820424,54.048843187660665,35.347043701799485,2.056555269922879,60.59405940594059,27.524752475247528
763,2015,48607,1305,215,968,452.0,54.0,542.0,113.0,385.0,20994.0,338.0,38800.0,Saginaw,25922.187311458667,417.3430175894555,47908.01503689608,74.17624521072797,16.47509578544061,4.137931034482759,71.03321033210332,20.84870848708487
764,2018,48607,1654,505,999,460.0,28.0,580.0,131.0,393.0,27375.0,485.0,45600.0,Saginaw,31904.449597183662,565.2477828176833,53144.94617832238,60.39903264812576,30.53204353083434,1.6928657799274487,67.75862068965517,22.586206896551726
765,2014,48607,1584,286,1165,522.0,132.0,821.0,163.0,622.0,20833.0,382.0,43900.0,Saginaw,25753.92680031765,472.2315575155448,54269.54286631521,73.5479797979798,18.055555555555554,8.333333333333332,75.76126674786845,19.853836784409257
766,2012,48607,1628,286,1255,365.0,165.0,761.0,161.0,589.0,17695.0,390.0,63100.0,Saginaw,22555.163571347686,497.1186093713249,80431.24167007848,77.08845208845209,17.56756756756757,10.135135135135135,77.39816031537451,21.156373193166885
767,2017,48607,1409,290,942,392.0,41.0,576.0,119.0,390.0,21089.0,439.0,38000.0,Saginaw,25178.693272682758,524.1332612597911,45369.1661227154,66.85592618878637,20.581973030518096,2.9098651525904895,67.70833333333334,20.65972222222222
768,2013,48607,1392,294,949,445.0,119.0,604.0,179.0,409.0,21302.0,368.0,45200.0,Saginaw,26760.890679395765,462.3043737685496,56783.03721287619,68.17528735632183,21.120689655172413,8.548850574712644,67.71523178807946,29.635761589403977
769,2011,48607,1813,355,1373,361.0,169.0,873.0,212.0,648.0,15552.0,376.0,62200.0,Saginaw,20233.79920778522,489.1916475133258,80924.78849821507,75.73083287369002,19.580805295091007,9.321566464423608,74.22680412371135,24.284077892325314
770,2020,48609,12375,11950,60,5625.0,234.0,1016.0,899.0,1.0,70314.0,685.0,141800.0,Saginaw,79508.76767216231,774.5755589986516,160342.79454891788,0.48484848484848486,96.56565656565657,1.890909090909091,0.09842519685039369,88.48425196850394
771,2019,48609,12422,12099,60,5884.0,158.0,841.0,773.0,2.0,64668.0,629.0,136300.0,Saginaw,74026.58069209917,720.02720441842,156024.97291292626,0.4830140074062148,97.3997745934632,1.271936886169699,0.23781212841854932,91.91438763376932
772,2013,48609,11952,11563,100,5292.0,567.0,607.0,555.0,19.0,53557.0,588.0,122700.0,Saginaw,67281.61778783209,738.6819885214868,154143.33331902453,0.8366800535475234,96.74531459170014,4.743975903614458,3.130148270181219,91.43327841845141
773,2014,48609,12019,11604,77,5206.0,395.0,706.0,636.0,23.0,54467.0,543.0,119300.0,Saginaw,67332.55561046902,671.2610883008921,147479.64610367667,0.64065230052417,96.54713370496714,3.2864631000915216,3.2577903682719547,90.08498583569406
774,2011,48609,12239,11757,128,5467.0,552.0,691.0,618.0,25.0,52254.0,646.0,123900.0,Saginaw,67984.62858819503,840.4728837595968,161199.0561885667,1.0458370781926627,96.06176975243076,4.5101723997058585,3.61794500723589,89.4356005788712
775,2017,48609,12088,11793,79,5543.0,225.0,741.0,729.0,2.0,57402.0,547.0,124300.0,Saginaw,68533.70720463445,653.0772070822453,148404.93023825064,0.6535407015221708,97.55956320317671,1.8613500992720053,0.2699055330634278,98.38056680161942
776,2018,48609,12263,11920,61,5589.0,212.0,882.0,863.0,2.0,58195.0,639.0,125600.0,Saginaw,67823.9066413919,744.7285221041229,146381.69385958972,0.497431297398679,97.20296827856153,1.7287776237462285,0.22675736961451248,97.84580498866214
777,2015,48609,11965,11571,90,5241.0,307.0,779.0,733.0,25.0,54214.0,546.0,120400.0,Saginaw,66940.33833016196,674.1694899521973,148663.0157330487,0.7521938988717092,96.70706226493941,2.5658169661512744,3.209242618741977,94.09499358151476
778,2016,48609,11821,11506,62,5340.0,251.0,671.0,664.0,2.0,56542.0,566.0,122700.0,Saginaw,68945.0683105076,690.1579120608983,149615.50496443853,0.5244903138482362,97.33525082480332,2.1233398189662465,0.29806259314456035,98.95678092399403
779,2012,48609,12157,11631,99,5355.0,610.0,667.0,602.0,23.0,52086.0,635.0,126200.0,Saginaw,66392.10227619189,809.4110691045933,160862.48334015696,0.8143456444846591,95.67327465657645,5.017685284198404,3.4482758620689653,90.25487256371814
780,2019,48614,1425,1375,0,574.0,86.0,296.0,289.0,0.0,45777.0,520.0,97800.0,Saginaw,52401.725495488085,595.2530147815236,111953.35547237117,0.0,96.49122807017544,6.035087719298246,0.0,97.63513513513513
781,2014,48614,1410,1399,1,567.0,53.0,308.0,307.0,1.0,47841.0,411.0,100400.0,Saginaw,59141.43964162612,508.08159722222223,124115.30988104893,0.07092198581560284,99.21985815602838,3.7588652482269502,0.3246753246753247,99.67532467532467
782,2018,48614,1510,1448,0,610.0,86.0,308.0,298.0,0.0,44375.0,518.0,93800.0,Saginaw,51717.258479452976,603.707941236206,109320.08665628594,0.0,95.89403973509934,5.695364238410596,0.0,96.75324675324676
783,2012,48614,1387,1369,1,496.0,69.0,307.0,306.0,1.0,45714.0,394.0,106900.0,Saginaw,58269.948996925,502.2172617751335,136261.48549178115,0.07209805335255948,98.70223503965393,4.974765681326604,0.32573289902280134,99.6742671009772
784,2011,48614,1318,1297,2,504.0,92.0,224.0,219.0,2.0,46875.0,495.0,111900.0,Saginaw,60986.325737199855,644.0155997848304,145586.5567998435,0.15174506828528073,98.40667678300456,6.980273141122914,0.8928571428571428,97.76785714285714
785,2013,48614,1375,1357,1,517.0,65.0,310.0,309.0,1.0,48942.0,378.0,104300.0,Saginaw,61483.9691874466,474.8669926209558,131028.11463059705,0.07272727272727272,98.6909090909091,4.7272727272727275,0.3225806451612903,99.67741935483872
786,2020,48614,1274,1217,0,487.0,73.0,246.0,240.0,0.0,44118.0,468.0,103700.0,Saginaw,49887.18906847081,529.199068045794,117260.56272724114,0.0,95.52590266875981,5.729984301412873,0.0,97.5609756097561
787,2017,48614,1522,1465,0,659.0,79.0,305.0,296.0,0.0,44353.0,506.0,96400.0,Saginaw,52954.174343178835,604.1262646866841,115094.41090078329,0.0,96.25492772667543,5.19053876478318,0.0,97.04918032786885
788,2016,48614,1511,1469,0,661.0,60.0,283.0,276.0,0.0,45750.0,472.0,94900.0,Saginaw,55785.7322911415,575.538046806968,115717.28949572303,0.0,97.2203838517538,3.9708802117802784,0.0,97.52650176678446
789,2015,48614,1466,1453,0,593.0,66.0,307.0,307.0,0.0,49432.0,428.0,91800.0,Saginaw,61035.79895113008,528.4698565925652,113349.37578317164,0.0,99.11323328785812,4.502046384720328,0.0,100.0
790,2018,48616,7294,6964,24,3159.0,202.0,851.0,771.0,5.0,49366.0,509.0,105500.0,Saginaw,57534.066075418035,593.2188071220635,122955.9610046713,0.3290375651220181,95.47573347957226,2.7693995064436523,0.5875440658049353,90.59929494712104
791,2013,48616,7459,7128,23,3103.0,420.0,815.0,737.0,1.0,42731.0,504.0,108800.0,Saginaw,53681.3266182171,633.1559901612743,136681.29311417983,0.30835232604906826,95.56240782946776,5.63078160611342,0.1226993865030675,90.42944785276073
792,2011,48616,7440,7066,40,3087.0,465.0,905.0,812.0,1.0,46698.0,461.0,120700.0,Saginaw,60756.041371216204,599.7801848501149,157035.7230182405,0.5376344086021506,94.97311827956989,6.25,0.11049723756906078,89.72375690607734
