datapoint,Year,Zipcode,Total Population,White Population,Black Population,Employed Count,Unemployed Count,Poverty Count,Poverty Count - White,Poverty Count - Black,Median Income,Median Rent,Median Home Value,County,Adjusted Median Income,Adjusted Median Rent,Adjusted Median Home Value,% Black Population,% White Population,% Unemployed,% Black Poverty,% White Poverty
85,2011,48070,6231,5956,137,3362.0,120.0,142.0,142.0,0.0,109946.0,985.0,282800.0,Oakland,143044.32148271307,1281.5259914910264,367934.56892757595,2.1986839993580487,95.58658321296743,1.9258545979778527,0.0,100.0
86,2018,48070,6340,5927,96,3124.0,126.0,138.0,138.0,0.0,130417.0,1521.0,349500.0,Oakland,151995.71152934805,1772.6636652900952,407328.04143253673,1.5141955835962144,93.48580441640378,1.9873817034700314,0.0,100.0
87,2016,48070,6330,5871,116,3210.0,136.0,91.0,83.0,1.0,121528.0,1750.0,298800.0,Oakland,148186.41472957036,2133.880470152953,364344.8482752585,1.8325434439178514,92.74881516587678,2.148499210110584,1.098901098901099,91.20879120879121
88,2017,48070,6347,5903,86,3178.0,109.0,90.0,89.0,1.0,125873.0,1600.0,321400.0,Oakland,150282.9749306462,1910.2806788511746,383727.63136422966,1.354970852371199,93.004569087758,1.7173467780053568,1.1111111111111112,98.88888888888889
89,2019,48070,6322,5925,103,3167.0,120.0,130.0,130.0,0.0,136331.0,1708.0,362900.0,Oakland,156060.45915034597,1955.177210090081,415417.9212773364,1.6292312559316673,93.72034166403037,1.8981335020563113,0.0,100.0
90,2019,48071,30120,24335,2564,16493.0,633.0,4065.0,3429.0,215.0,53439.0,853.0,124000.0,Oakland,61172.54972482661,976.4438877089224,141944.94967867102,8.51261620185923,80.79349269588313,2.1015936254980083,5.289052890528905,84.35424354243543
91,2011,48071,29850,25822,1393,14178.0,2427.0,4862.0,4060.0,473.0,42294.0,644.0,113800.0,Oakland,55026.25409555479,837.8708005281431,148058.53586972467,4.666666666666667,86.50586264656617,8.130653266331658,9.728506787330318,83.50473056355409
92,2017,48071,30173,24645,2536,15402.0,824.0,5183.0,3930.0,898.0,46687.0,781.0,91300.0,Oakland,55740.796283453,932.4557563642296,109005.39123694516,8.404865276903191,81.67898452258642,2.7309183707287974,17.325873046498167,75.82481188500869
93,2012,48071,29854,25028,1884,13863.0,2362.0,5110.0,4187.0,561.0,41074.0,648.0,96600.0,Oakland,52355.512208507185,825.9816894169709,123132.45555197436,6.31071213237757,83.83466202183962,7.911837609700542,10.978473581213308,81.93737769080235
94,2018,48071,30226,24726,2872,16171.0,841.0,5219.0,3943.0,820.0,50350.0,813.0,110500.0,Oakland,58680.87807189763,947.5184483108793,128783.25773475053,9.501753457288427,81.80374512009529,2.782372791636339,15.71182218815865,75.55087181452386
95,2016,48071,30168,25354,2192,14981.0,1043.0,5317.0,4133.0,882.0,43158.0,719.0,84000.0,Oakland,52625.15047477781,876.7200331656993,102426.26256734176,7.2659771943781495,84.04269424555821,3.4573057544417924,16.588301673876245,77.73180364867407
96,2014,48071,30028,25407,2168,14276.0,1990.0,5945.0,4643.0,937.0,40820.0,678.0,80300.0,Oakland,50462.02140781292,838.1492041768045,99267.5237395242,7.219928067137338,84.6110297056081,6.627147995204476,15.761143818334736,78.09924306139612
97,2013,48071,29933,25296,1771,13785.0,2271.0,5560.0,4584.0,585.0,40140.0,653.0,84200.0,Oakland,50426.35207355864,820.3390110621274,105777.25073726053,5.916546954865868,84.50873617746299,7.586944175324891,10.521582733812949,82.44604316546763
98,2020,48071,30000,23767,2597,17053.0,595.0,3309.0,2710.0,194.0,54668.0,880.0,137700.0,Oakland,61816.783444289475,995.0751706843989,155706.64886732015,8.656666666666666,79.22333333333333,1.9833333333333334,5.862798428528256,81.8978543366576
99,2015,48071,30123,25614,2270,14615.0,1582.0,5757.0,4434.0,1007.0,41206.0,695.0,79700.0,Oakland,50878.80586624588,858.1461456351233,98408.98965053137,7.5357700096271945,85.03137137735285,5.251800949440627,17.491749174917494,77.01928087545596
100,2019,48072,15372,14173,486,9332.0,156.0,619.0,506.0,98.0,86905.0,965.0,199200.0,Oakland,99481.66009536212,1104.6522293541734,228027.69335476827,3.161592505854801,92.20010408534999,1.014832162373146,15.831987075928918,81.74474959612277
101,2016,48072,15239,14172,363,8804.0,404.0,755.0,668.0,22.0,74172.0,900.0,159400.0,Oakland,90442.38984696276,1097.4242417929477,194366.0268242176,2.3820460660148304,92.99822823019883,2.651092591377387,2.913907284768212,88.47682119205298
