datapoint,Year,Zipcode,Total Population,White Population,Black Population,Employed Count,Unemployed Count,Poverty Count,Poverty Count - White,Poverty Count - Black,Median Income,Median Rent,Median Home Value,County,Adjusted Median Income,Adjusted Median Rent,Adjusted Median Home Value,% Black Population,% White Population,% Unemployed,% Black Poverty,% White Poverty
942,2013,48838,17928,17197,16,6710.0,912.0,3751.0,3536.0,16.0,40731.0,551.0,108200.0,Kent,51168.802847735846,692.2002987675837,135927.5359830355,0.0892458723784025,95.92257920571173,5.087014725568943,0.4265529192215409,94.26819514796054
943,2018,48838,18301,17616,104,8662.0,378.0,2783.0,2527.0,22.0,48094.0,601.0,123400.0,Kent,56051.60178728589,700.4410669555208,143817.68329835488,0.5682749576525873,96.25703513469209,2.06546090377575,0.7905138339920948,90.80129356809199
944,2012,48838,17774,17055,15,6988.0,1025.0,3874.0,3734.0,6.0,39486.0,530.0,110100.0,Kent,50331.34720419523,675.5714435046212,140340.4074148279,0.0843929334983684,95.95476538764487,5.7668504557218405,0.15487867836861124,96.38616417139907
945,2017,48838,18130,17548,40,7913.0,470.0,3358.0,3052.0,23.0,46110.0,605.0,118100.0,Kent,55051.901313642295,722.3248816906005,141002.59260770236,0.2206287920573635,96.78985107556535,2.592388306674021,0.684931506849315,90.88743299583085
946,2019,48838,18376,17647,87,8914.0,298.0,2827.0,2567.0,12.0,48121.0,575.0,127300.0,Kent,55084.94293134942,658.2124682680309,145722.51688786148,0.4734436221158032,96.03286895951241,1.6216804527644755,0.4244782454899187,90.80297134771843
947,2015,48838,17925,17188,28,7090.0,720.0,3817.0,3504.0,14.0,42083.0,624.0,102900.0,Kent,51961.6751751984,770.4794170882257,127055.01926022184,0.15620641562064155,95.88842398884239,4.01673640167364,0.36678019386953103,91.79984280848834
948,2016,48838,18016,17339,26,7638.0,566.0,3670.0,3374.0,15.0,45034.0,586.0,111000.0,Kent,54912.67033878178,714.5451174340748,135348.9898211302,0.14431616341030196,96.24222912966253,3.1416518650088805,0.4087193460490463,91.93460490463215
949,2011,48838,17870,17116,50,7050.0,1052.0,3911.0,3747.0,7.0,39598.0,523.0,115700.0,Kent,51518.64589955499,680.4447650251846,150530.51493960584,0.27979854504756574,95.78063794068271,5.886961387800784,0.17898235745333674,95.8066990539504
960,2018,49301,20382,18778,278,10166.0,178.0,865.0,748.0,2.0,127342.0,1204.0,358900.0,Kent,148411.92404034932,1403.2130526030735,418283.3592850856,1.3639485820822295,92.13031105877735,0.8733195957217152,0.23121387283236997,86.47398843930635
961,2017,49301,19998,18737,225,9730.0,310.0,870.0,766.0,1.0,120775.0,1231.0,332900.0,Kent,144196.34311765665,1469.7221972911227,397457.7737434725,1.125112511251125,93.69436943694369,1.5501550155015502,0.11494252873563218,88.04597701149424
962,2012,49301,18990,18175,135,9218.0,498.0,524.0,472.0,16.0,115274.0,997.0,279300.0,Kent,146935.51429915417,1270.839111649259,356013.4040959258,0.7109004739336493,95.70826750921537,2.6224328593996837,3.0534351145038165,90.07633587786259
963,2015,49301,19768,18655,103,9412.0,448.0,700.0,604.0,4.0,121413.0,1183.0,291300.0,Kent,149913.81004316144,1460.7005615630949,359680.53557339765,0.5210441116956698,94.36968838526913,2.26628895184136,0.5714285714285714,86.28571428571429
964,2016,49301,20101,18654,299,9725.0,391.0,817.0,711.0,3.0,125118.0,1167.0,311900.0,Kent,152563.91809405558,1422.9934335248554,380318.4677946892,1.4874881846674295,92.80135316650913,1.9451768568727923,0.36719706242350064,87.02570379436965
965,2011,49301,18371,17904,93,8853.0,463.0,499.0,440.0,15.0,109413.0,983.0,287500.0,Kent,142350.86630153062,1278.9239082595725,374049.4645214924,0.5062326492841979,97.45795002993849,2.5202765227804695,3.006012024048096,88.17635270541082
966,2014,49301,19549,18696,117,9695.0,417.0,617.0,583.0,4.0,121980.0,1149.0,287900.0,Kent,150792.68425587995,1420.4032973438766,355904.359708705,0.5984960867563558,95.63660545296435,2.133101437413678,0.6482982171799028,94.48946515397083
967,2013,49301,19366,18638,138,9445.0,509.0,364.0,326.0,15.0,118761.0,1168.0,275200.0,Kent,149194.91775306172,1467.3138819610483,345723.27081821964,0.7125890736342043,96.2408344521326,2.6283176701435504,4.1208791208791204,89.56043956043956
