datapoint,Year,Zipcode,Total Population,White Population,Black Population,Employed Count,Unemployed Count,Poverty Count,Poverty Count - White,Poverty Count - Black,Median Income,Median Rent,Median Home Value,County,Adjusted Median Income,Adjusted Median Rent,Adjusted Median Home Value
804,2020,48623,13690,12602,528,6336.0,169.0,590.0,588.0,2.0,74756.0,648.0,166600.0,Saginaw,84531.63574963971,732.7371711403301,188385.82208638734
805,2017,48623,13786,12407,616,6144.0,339.0,591.0,570.0,2.0,72318.0,762.0,153700.0,Saginaw,86342.29883322454,909.771173302872,183506.33771214096
806,2011,48623,13479,12177,834,5956.0,503.0,590.0,579.0,9.0,68539.0,617.0,156300.0,Saginaw,89172.09130030808,802.742676903516,203352.8045381192
807,2019,48623,13662,12516,554,6464.0,163.0,465.0,463.0,2.0,81436.0,804.0,165800.0,Saginaw,93221.20098413106,920.352738239125,189794.13432841655
808,2014,48623,14032,12526,939,6080.0,420.0,718.0,703.0,3.0,68531.0,772.0,148800.0,Saginaw,84718.58865994187,954.3527811570694,183947.78994322786
809,2018,48623,13589,12483,577,6351.0,193.0,446.0,435.0,0.0,80032.0,724.0,162900.0,Saginaw,93274.04238033984,843.7925665154694,189853.3274659806
810,2012,48626,6113,5933,33,2773.0,253.0,318.0,306.0,0.0,64539.0,522.0,142000.0,Saginaw,82265.48187234858,665.3741386970041,181002.16033520037
811,2013,48626,6105,5942,35,2846.0,229.0,372.0,364.0,8.0,63406.0,518.0,133300.0,Saginaw,79654.541095567,650.743656554643,167459.70930257515
812,2015,48626,5973,5785,63,2817.0,176.0,285.0,233.0,43.0,60873.0,516.0,134200.0,Saginaw,75162.48967373648,637.1272102844943,165702.46438019213
813,2011,48626,6204,6114,28,2789.0,280.0,403.0,387.0,1.0,60815.0,488.0,142500.0,Saginaw,79122.84586043327,634.908308474742,185398.43024108757
814,2019,48626,5847,5752,40,2818.0,78.0,279.0,242.0,31.0,63766.0,586.0,143900.0,Saginaw,72994.04565492044,670.8043589653324,164724.82466742545
815,2018,48626,5875,5785,45,2857.0,86.0,267.0,225.0,37.0,61683.0,561.0,139900.0,Saginaw,71889.02884029517,653.8226931148872,163047.76250761625
816,2016,48626,5852,5657,52,2679.0,134.0,326.0,266.0,52.0,58468.0,600.0,132000.0,Saginaw,71293.55618794452,731.6161611952983,160955.55546296565
817,2020,48626,5702,5589,9,2792.0,158.0,255.0,255.0,0.0,66940.0,608.0,163100.0,Saginaw,75693.55900637918,687.5064815637667,184428.13674843803
818,2017,48626,5930,5808,57,2769.0,131.0,280.0,217.0,57.0,59558.0,575.0,132000.0,Saginaw,71107.81041938641,686.5071189621409,157598.15600522194
819,2014,48626,5982,5828,40,2827.0,214.0,342.0,324.0,18.0,61768.0,494.0,135100.0,Saginaw,76358.11215869154,610.6868832792646,167011.73670248716
820,2012,48637,3181,3091,1,1422.0,134.0,366.0,317.0,1.0,45688.0,488.0,104000.0,Saginaw,58236.807756300244,622.0355932646323,132564.96249902
821,2015,48637,3320,3262,2,1494.0,111.0,333.0,323.0,0.0,50060.0,531.0,102300.0,Saginaw,61811.21733884067,655.6483501183459,126314.17366686776
822,2019,48637,3163,3054,4,1342.0,64.0,343.0,323.0,4.0,51432.0,595.0,106200.0,Saginaw,58875.10203123716,681.1068149903972,121568.981095765
823,2016,48637,3326,3260,3,1498.0,114.0,338.0,328.0,0.0,53074.0,471.0,104200.0,Saginaw,64716.326898798776,574.3186865383092,127057.33999425016
824,2011,48637,3253,3153,1,1416.0,186.0,371.0,313.0,1.0,44565.0,496.0,105600.0,Saginaw,57980.91960487065,645.3166414005574,137389.99462076384
825,2013,48637,3308,3217,3,1502.0,133.0,382.0,328.0,1.0,48646.0,476.0,102000.0,Saginaw,61112.11566941538,597.9806573745369,128138.71229454361
826,2020,48637,3344,3043,6,1300.0,137.0,479.0,303.0,6.0,55938.0,544.0,111900.0,Saginaw,63252.85783834536,615.1373782412649,126532.85409043665
827,2014,48637,3384,3314,7,1583.0,130.0,356.0,319.0,4.0,49321.0,489.0,105200.0,Saginaw,60971.02787493241,604.5058419505272,130049.10955663692
828,2018,48637,3192,3122,3,1370.0,83.0,318.0,311.0,3.0,50216.0,594.0,107500.0,Saginaw,58524.70651953151,692.2828515334099,125286.87969670298
829,2017,48637,3317,3251,4,1440.0,107.0,317.0,307.0,1.0,49680.0,532.0,106800.0,Saginaw,59314.215078328976,635.1683257180156,127511.2353133159
830,2013,48638,13161,10565,1605,6087.0,560.0,1759.0,1001.0,562.0,52221.0,601.0,125900.0,Saginaw,65603.25190915061,755.0133930296148,158163.37135179454
831,2011,48638,13194,10972,1424,6168.0,691.0,1331.0,854.0,290.0,54425.0,606.0,134600.0,Saginaw,70809.18993593818,788.4312191305198,175120.20147684484
832,2018,48638,11923,9665,1466,5428.0,370.0,1462.0,764.0,514.0,47178.0,657.0,114900.0,Saginaw,54984.04102633538,765.7067903324081,133911.27885722023
833,2014,48638,12890,10633,1434,5979.0,455.0,1584.0,890.0,547.0,52056.0,601.0,116400.0,Saginaw,64352.05748175182,742.961167714247,143894.64213300892
834,2015,48638,12784,10336,1573,5767.0,460.0,1625.0,908.0,573.0,45628.0,616.0,113300.0,Saginaw,56338.83788926532,760.6014758435049,139896.34287835893
835,2019,48638,11692,9441,1391,5581.0,282.0,1290.0,822.0,282.0,48540.0,639.0,121100.0,Saginaw,55564.579495182996,731.4743777796031,138625.2694039279
836,2016,48638,12492,9956,1566,5793.0,377.0,1415.0,679.0,561.0,45489.0,600.0,109600.0,Saginaw,55467.479261021545,731.6161611952983,133641.88544500782
837,2017,48638,12240,10022,1409,5773.0,316.0,1538.0,806.0,555.0,45670.0,628.0,111800.0,Saginaw,54526.57412695822,749.7851664490861,133480.86243472583
838,2020,48638,11528,9463,1441,5579.0,212.0,975.0,607.0,322.0,52651.0,661.0,126500.0,Saginaw,59536.02592239124,747.4371452527134,143042.05578588237
839,2012,48638,12980,10520,1443,5791.0,633.0,1334.0,848.0,272.0,54365.0,608.0,134000.0,Saginaw,69297.05948326175,774.9951653788862,170804.85552758348
840,2019,48649,1253,1242,2,533.0,26.0,159.0,159.0,0.0,51346.0,570.0,105900.0,Saginaw,58776.656340330985,652.4888815874393,121225.56589492952
841,2016,48649,1413,1388,0,592.0,41.0,141.0,124.0,0.0,56083.0,585.0,96000.0,Saginaw,68385.3819471932,713.3257571654159,117058.58579124774
842,2018,48649,1381,1363,0,556.0,28.0,167.0,162.0,0.0,52361.0,590.0,113800.0,Saginaw,61024.61681673549,687.6210141493466,132629.27357660278
843,2011,48649,1626,1523,1,647.0,91.0,112.0,104.0,0.0,49911.0,548.0,113500.0,Saginaw,64936.28808254682,712.9708054183577,147668.2233850066
844,2015,48649,1459,1437,0,624.0,46.0,128.0,114.0,0.0,55521.0,624.0,101800.0,Saginaw,68554.14698101823,770.4794170882257,125696.80233907272
845,2017,48649,1386,1360,0,541.0,20.0,177.0,163.0,0.0,50625.0,570.0,97700.0,Saginaw,60442.47460427545,680.5374918407309,116646.51395234985
846,2013,48649,1439,1357,1,587.0,71.0,85.0,73.0,0.0,49886.0,632.0,99700.0,Saginaw,62669.88040711376,793.9575114720742,125249.30995849018
847,2014,48649,1420,1354,0,586.0,68.0,119.0,105.0,0.0,55815.0,634.0,102400.0,Saginaw,68998.96435269667,783.7560404839146,126587.72641254393
848,2020,48649,1184,1167,6,588.0,23.0,160.0,160.0,0.0,54375.0,653.0,114400.0,Saginaw,61485.46864314113,738.3910073374007,129359.77218897187
849,2012,48649,1569,1490,1,642.0,94.0,115.0,107.0,0.0,49922.0,628.0,107000.0,Saginaw,63633.7313257315,800.4884273979285,136388.95180187633
850,2019,48655,5688,5497,30,2400.0,94.0,638.0,602.0,4.0,55455.0,524.0,114500.0,Saginaw,63480.29987444114,599.8318841259968,131070.13498554702
851,2020,48655,5695,5357,153,2451.0,78.0,605.0,561.0,0.0,59306.0,532.0,114500.0,Saginaw,67061.28190069202,601.5681713682958,129472.84891291328
852,2017,48655,5862,5681,28,2614.0,123.0,678.0,618.0,3.0,53000.0,499.0,103500.0,Saginaw,63278.047486945165,595.7687867167101,123571.28141318537
853,2014,48655,6321,6194,13,2841.0,247.0,712.0,657.0,2.0,49912.0,492.0,106400.0,Saginaw,61701.62695998919,608.2144667477696,131532.55947553393
854,2011,48655,6393,6227,7,2610.0,282.0,767.0,675.0,1.0,48676.0,470.0,117600.0,Saginaw,63329.501687124066,611.4895593916572,153002.494009487
855,2015,48655,6120,5950,34,2821.0,204.0,678.0,606.0,6.0,48389.0,478.0,102800.0,Saginaw,59747.9623613496,590.2069893720703,126931.54499466282
856,2012,48655,6304,6100,8,2696.0,251.0,772.0,668.0,3.0,46649.0,489.0,114200.0,Saginaw,59461.75899631523,623.3102563655845,145566.52612873158
857,2013,48655,6327,6211,20,2774.0,278.0,687.0,650.0,4.0,49337.0,484.0,111500.0,Saginaw,61980.192632116654,608.0307524564619,140073.20020432954
858,2018,48655,5799,5603,22,2505.0,124.0,654.0,598.0,4.0,52646.0,521.0,113600.0,Saginaw,61356.77273035001,607.2043192742535,132396.1817073996
859,2016,48655,6017,5790,23,2693.0,164.0,707.0,629.0,2.0,51028.0,505.0,105500.0,Saginaw,62221.51578912281,615.7769356727096,128642.50834350663
860,2012,48708,27493,24893,769,11245.0,1948.0,5697.0,4433.0,390.0,39375.0,443.0,80000.0,Saginaw,50189.85959998954,564.6757537217871,101973.04807616923
861,2017,48708,26744,24582,760,11203.0,1247.0,6205.0,5488.0,245.0,37604.0,464.0,73700.0,Saginaw,44896.37165469973,553.9813968668407,87992.30376958223
862,2015,48708,27106,25010,741,10980.0,1661.0,6031.0,5273.0,257.0,37253.0,459.0,75600.0,Saginaw,45997.868148698195,566.7468789158584,93346.54476261196
863,2011,48708,27147,24352,886,11548.0,1812.0,5033.0,3807.0,462.0,38302.0,443.0,82600.0,Saginaw,49832.49596557288,576.3614357670301,107466.03745904444
864,2018,48708,26281,24031,829,11181.0,1164.0,5905.0,5207.0,266.0,40181.0,484.0,74600.0,Saginaw,46829.32198226254,564.0823234716675,86943.2672127818
865,2014,48708,27243,24942,775,10999.0,1866.0,6273.0,5210.0,381.0,38399.0,447.0,76400.0,Saginaw,47469.161196438225,552.5850947891322,94446.31150310894
866,2013,48708,27205,24992,671,11042.0,1960.0,6128.0,5127.0,414.0,37344.0,456.0,75300.0,Saginaw,46913.84384242585,572.8554196697245,94596.51995861896
867,2016,48708,26956,24993,737,11143.0,1325.0,6297.0,5644.0,247.0,37378.0,453.0,72900.0,Saginaw,45577.24812192978,552.3702017024503,88891.36358522874
868,2020,48708,26255,23485,664,11675.0,1037.0,5813.0,5100.0,177.0,40456.0,514.0,76000.0,Saginaw,45746.31943773642,581.2143610588422,85938.31019547083
869,2019,48708,25827,23646,839,11253.0,1012.0,5694.0,5061.0,266.0,39985.0,506.0,73200.0,Saginaw,45771.52268469081,579.2269720758673,83793.30900386062
870,2017,48722,3117,2901,172,1289.0,155.0,306.0,286.0,20.0,53831.0,433.0,92000.0,Saginaw,64270.19951452349,516.9697087140992,109841.13903394254
871,2015,48722,3254,3037,153,1463.0,127.0,288.0,274.0,14.0,48558.0,433.0,87600.0,Saginaw,59956.63387014433,534.6435698705155,108163.45662969322
872,2014,48722,3350,3018,267,1517.0,125.0,362.0,345.0,17.0,44286.0,502.0,89500.0,Saginaw,54746.719256893746,620.5765494052447,110640.63978440118
